"algorithm","parameters","test_OA","test_kappa","test_recall","wuhan_OA","wuhan_kappa","wuhan_recall"
"rf"," param1: 2","0.945945945945946","0.802139037433155","0.714285714285714","0.888888888888889","0","0"
"knn"," param1: 7","0.891891891891892","0.548780487804878","0.428571428571429","0.962962962962963","0.780487804878049","0.666666666666667"
"nnet"," param1: 1 param2: 0.1","0.945945945945946","0.802139037433155","0.714285714285714","0.950617283950617","0.723076923076923","0.666666666666667"
